p,propLabel,eff
http://www.wikidata.org/prop/direct/P106,occupation,143
http://www.wikidata.org/prop/direct/P166,distinction reçue,121
http://www.wikidata.org/prop/direct/P1344,participant à,107
http://www.wikidata.org/prop/direct/P27,pays de nationalité,84
http://www.wikidata.org/prop/direct/P735,prénom,71
http://www.wikidata.org/prop/direct/P21,sexe ou genre,66
http://www.wikidata.org/prop/direct/P31,nature de l’élément,66
http://www.wikidata.org/prop/direct/P569,date de naissance,66
http://www.wikidata.org/prop/direct/P570,date de mort,63
http://www.wikidata.org/prop/direct/P19,lieu de naissance,59
http://www.wikidata.org/prop/direct/P1412,"langues parlées, écrites ou signées",58
http://www.wikidata.org/prop/direct/P20,lieu de mort,53
http://www.wikidata.org/prop/direct/P734,nom de famille,43
http://www.wikidata.org/prop/direct/P410,grade militaire ou de la police,39
http://www.wikidata.org/prop/direct/P607,a participé au conflit,39
http://www.wikidata.org/prop/direct/P241,corps militaire,38
http://www.wikidata.org/prop/direct/P69,scolarité,35
http://www.wikidata.org/prop/direct/P214,identifiant VIAF,26
http://www.wikidata.org/prop/direct/P18,image,24
http://www.wikidata.org/prop/direct/P463,membre de,24
http://www.wikidata.org/prop/direct/P108,employé(e) par,22
http://www.wikidata.org/prop/direct/P101,domaine d'activité,20
http://www.wikidata.org/prop/direct/P551,résidence,19
http://www.wikidata.org/prop/direct/P119,lieu de sépulture,18
http://www.wikidata.org/prop/direct/P1559,nom dans la langue maternelle de la personne,17
http://www.wikidata.org/prop/direct/P213,identifiant ISNI,16
http://www.wikidata.org/prop/direct/P227,identifiant GND (DNB),16
http://www.wikidata.org/prop/direct/P1196,circonstances de la mort,16
http://www.wikidata.org/prop/direct/P2671,identifiant du Google Knowledge Graph,16
http://www.wikidata.org/prop/direct/P39,fonction,15
http://www.wikidata.org/prop/direct/P244,identifiant Bibliothèque du Congrès,15
http://www.wikidata.org/prop/direct/P10832,identifiant WorldCat Entities,15
http://www.wikidata.org/prop/direct/P102,parti politique,14
http://www.wikidata.org/prop/direct/P373,catégorie Commons,13
http://www.wikidata.org/prop/direct/P598,commandement (OBSOLÈTE),13
http://www.wikidata.org/prop/direct/P269,identifiant IdRef,12
http://www.wikidata.org/prop/direct/P646,identifiant Freebase,12
http://www.wikidata.org/prop/direct/P1477,nom de naissance,12
http://www.wikidata.org/prop/direct/P2163,identifiant FAST,11
http://www.wikidata.org/prop/direct/P103,langue maternelle,10
http://www.wikidata.org/prop/direct/P509,cause de la mort,10
http://www.wikidata.org/prop/direct/P1006,identifiant Bibliothèque royale des Pays-Bas,10
http://www.wikidata.org/prop/direct/P1343,décrit par,10
http://www.wikidata.org/prop/direct/P1207,identifiant NUKAT,10
